年份,广东,江苏,山东,浙江,河南,四川,湖北,湖南,河北,福建,上海,北京,安徽,辽宁,陕西,江西,重庆,广西,天津,内蒙古,山西,黑龙江,吉林,贵州,新疆,甘肃,海南,宁夏,青海,西藏
2019,107671.07,99631.52,71067.5,62352,54259.2,46615.82,45828.31,39752.12,35104.5,42395,38155.32,35371.3,37114,24909.5,25793.17,24757.5,23605.77,21237.14,14104.28,17212.5,17026.68,13612.7,11726.8,16769.34,13597.11,8718.3,5308.94,3748.48,2965.95,1697.82
2018,97277.77,92595.40,76469.70,55400.00,48055.86,40678.13,39366.55,36425.80,36010.30,35804.04,32679.87,30320.00,30006.80,25315.40,24438.32,21984.78,20363.19,20352.51,18809.64,17300.00,16818.11,16361.60,15074.62,14806.45,12199.08,8246.10,4832.05,3705.18,2865.23,1477.63
2017,89879.23,85900.90,72678.18,51768.30,44988.16,36980.20,36522.95,34590.60,35964.00,32298.28,30133.86,28000.40,27518.70,23942.00,21898.81,20818.50,19500.27,20396.25,18595.38,16103.17,14973.51,16199.90,15288.90,13540.83,10920.09,7677.00,4462.54,3453.93,2642.80,1310.63
2016,79512.05,76086.17,67008.20,46485.00,40160.01,32680.50,32297.91,31244.68,31827.90,28519.15,27466.15,24899.30,24117.87,22037.88,19165.39,18364.40,17558.76,18245.07,17885.39,18632.60,12928.34,15386.09,14886.23,11734.43,9617.23,7152.04,3702.76,3150.06,2572.49,1148.00
2015,72812.55,70116.38,63002.30,42886.50,37010.25,30103.10,29550.19,29047.20,29806.10,25979.82,24964.99,22968.60,22005.60,28743.40,18171.86,16723.80,15719.72,16803.12,16538.19,18032.79,12802.58,15083.70,14274.11,10502.56,9324.80,6790.32,3702.80,2911.80,2417.05,1026.40
2014,67792.24,65088.30,59426.60,40154.00,34938.24,28536.70,27379.22,27048.46,29421.20,24055.76,23560.94,21330.80,20848.80,28626.60,17689.94,15714.63,14262.60,15672.89,15722.47,17769.51,12761.49,15039.40,13803.14,9266.39,9273.46,6836.82,3500.70,2752.10,2301.12,920.83
2013,62163.97,59161.75,54684.33,37568.49,32155.86,26260.77,24668.49,24501.67,28301.40,21759.64,21602.12,19500.60,19038.87,27077.65,16045.21,14338.50,12656.69,14378.00,14370.16,16832.38,12602.24,14382.90,12981.46,8006.79,8360.24,6268.01,3146.46,2565.06,2101.05,807.67
2012,57067.92,54058.22,50013.20,34606.00,29599.31,23849.80,22250.45,22154.23,26575.00,19701.78,20101.33,17801.02,17212.10,24801.30,14453.68,12948.50,11409.60,13035.10,12893.88,15988.34,12112.83,13691.60,11937.82,6852.20,7505.31,5650.20,2855.26,2326.64,1884.54,695.58
2011,53210.28,49110.27,45361.85,32318.85,26931.03,21026.70,19632.26,19635.20,24515.76,17560.18,19195.70,16251.90,15300.65,22226.70,12512.30,11702.82,10011.37,11720.87,11307.28,14359.88,11237.55,12582.00,10568.83,5701.84,6610.05,5020.37,2515.30,2060.80,1634.70,605.80
2010,46013.06,41425.48,39169.92,27722.31,23092.36,17185.48,15967.61,16037.96,20394.26,14737.12,17166.00,14113.60,12359.33,18457.30,10123.48,9451.26,7925.58,9569.85,9224.46,11672.00,9200.86,10368.60,8667.58,4602.16,5437.47,4120.75,2064.50,1689.65,1350.43,507.46
